id,name_cz,name_eng,keyword,type,Typ (hodnota),edition,Edice,Vytisknuto,Role Token,Vytisknuto Reminder Tokeny,Reminder Tokeny,ability_cz,ability_eng,setup,setup_reminder_eng,setup_reminder_cz,setlist_position,first_night_position,first_night_reminder_eng,first_night_reminder_cz,other_night_position,other_night_reminder_eng,other_night_reminder_cz,jinx,
34,Drbna,Gossip,gossip,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,4,4,"Každý den můžeš učinit veřejné prohlášení, tedy říct drb. Pokud bylo pravdivé, dnes v noci kvůli tomu zemře jeden hráč.","Each day, you may make a public statement. Tonight, if it was true, a player dies.",FALSE,,,37,0,,,52,"If the Gossip is due to kill a player, they die. {reminder_token}","Pokud Drbna má zabít hráče, ten zemře. {reminder_token}",FALSE,
35,Dvořan,Courtier,courtier,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,Jednou za hru si v noci vyber roli: ta je opilá po 3 noci a 3 dny.,"Once per game, at night, choose a character: they are drunk for 3 nights & 3 days.",FALSE,,,42,30,The Courtier might choose a character. {reminder_token} {reminder_token},Dvořan může vybrat roli. {reminder_token} {reminder_token},12,The Courtier might choose a character. {reminder_token} {reminder_token},Dvořan může vybrat roli. {reminder_token} {reminder_token},FALSE,
36,Profesor,Professor,professor,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"Jednou za hru si v noci* vyber mrtvého hráče: pokud je to Měšťan, je vzkříšen.","Once per game, at night*, choose a dead player: if they are a Townsfolk, they are resurrected.",FALSE,,,46,0,,,59,The Professor might choose a dead player. {reminder_token} {reminder_token},Profesor může vybrat mrtvého hráče. {reminder_token} {reminder_token},FALSE,
37,Pěvec,Minstrel,minstrel,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Když Přisluhovač zemře rukou popravčího, všichni ostatní hráči (kromě Cestovatelů) jsou opilí až do zítřejšího soumraku.","When a Minion dies by execution, all other players (except Travellers) are drunk until dusk tomorrow.",FALSE,,,57,0,,,0,,,FALSE,
38,Čajová Dáma,Tea Lady,tealady,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"Pokud jsou oba tvoji žijící sousedé hodní, nemohou zemřít.","If both your alive neighbors are good, they can't die.",FALSE,,,62,0,,,0,,,FALSE,
39,Pacifista,Pacifist,pacifist,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,0,0,Popravení hodní hráči nemusí zemřít.,Executed good players might not die.,FALSE,,,68,0,,,0,,,FALSE,
40,Šašek,Fool,fool,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Poprvé, když zemřeš, nezemřeš.","The 1st time you die, you don't.",FALSE,,,64,0,,,0,,,FALSE,
41,Dráteník,Tinker,tinker,outsider,Outsider,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,Můžeš kdykoli zemřít.,You might die at any time.,FALSE,,,7,0,,,65,The Tinker might die. {reminder_token},Dráteník může zemřít. {reminder_token},FALSE,
42,Dítě Měsíce,Moonchild,moonchild,outsider,Outsider,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Když se dozvíš, že jsi zemřel, veřejně si vyber 1 živého hráče. Dnes v noci, pokud to byl hodný hráč, zemře.","When you learn that you died, publicly choose 1 alive player. Tonight, if it was a good player, they die.",FALSE,,,13,0,,,66,"If the Moonchild is due to kill a good player, they die. {reminder_token}","Pokud Dítě Měsíce má zabít hodného hráče, ten zemře. {reminder_token}",FALSE,
43,Rváč,Goon,goon,outsider,Outsider,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,3,3,"Každou noc je první hráč, který si tě vybere svou schopností, opilý až do zítřejšího soumraku. Ty se přidáš na jeho stranu.","Each night, the 1st player to choose you with their ability is drunk until dusk. You become their alignment.",FALSE,,,3,0,,,0,,,FALSE,
44,Lunatik,Lunatic,lunatic,outsider,Outsider,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,4,4,"Myslíš si, že jsi Démon, ale nejsi. Démon ví, kdo jsi a koho si v noci vybíráš.","You think you are a Demon, but you are not. The Demon knows who you are & who you choose at night.",FALSE,,,5,17,"If there are 7 or more players, wake the Lunatic: Show the **THESE ARE YOUR MINIONS** token. Point to any players. Show the **THESE CHARACTERS ARE NOT IN PLAY** token. Show 3 good character tokens. Put the Lunatic to sleep. Wake the Demon. Show the **YOU ARE** info token and the Demon token. Show the **THIS PLAYER IS** info token and the Lunatic token, then point to the Lunatic.","Pokud je ve hře 7 a více hráčů, probuď Lunatika: Ukaž **TOTO JSOU TVOJI PŘISLUHOVAČI**. Ukaž na libovolné hráče. Ukaž **TYTO ROLE NEJSOU VE HŘE**. Ukaž 3 žetony hodných rolí. Uspi Lunatika. Probuď Démona. Ukaž **JSI** a žeton Démona. Ukaž **TENTO HRÁČ JE** a žeton Lunatika, poté ukaž na Lunatika.",29,"Do whatever needs to be done to simulate the Demon acting. Put the Lunatic to sleep. Wake the Demon. Show the Lunatic token & point to them, then their target(s).","Udělej cokoliv, co je třeba k simulování akce Démona. Uspi Lunatika. Probuď Démona. Ukaž žeton Lunatika a ukaž na něj, poté na jeho cíl(e).",FALSE,
45,Kmotr,Godfather,godfather,minion,Přisluhovač,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"První noc se dozvíš, kteří Outsideři jsou ve hře. Pokud dnes jeden zemřel, vyber si tuto noc hráče: ten zemře.","You start knowing which Outsiders are in play. If 1 died today, choose a player tonight: they die.",TRUE,[-1 or +1 Outsider],[-1 nebo +1 Outsider],2,33,Show the character tokens of all in-play Outsiders.,Ukaž žetony rolí všech Outsiderů ve hře.,51,"If an Outsider died today, the Godfather chooses a player. {reminder_token}","Pokud dnes zemřel Outsider, Kmotr vybere hráče. {reminder_token}",FALSE,
46,Ďáblův advokát,Devil's Advocate,devilsadvocate,minion,Přisluhovač,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Každou noc si vyber živého hráče (jiného než včera): pokud bude zítra popraven, nezemře.","Each night, choose a living player (different to last night): if executed tomorrow, they don't die.",FALSE,,,4,35,The Devil's Advocate chooses a living player. {reminder_token},Ďáblův advokát vybere živého hráče. {reminder_token},20,The Devil's Advocate chooses a living player. {reminder_token},Ďáblův advokát vybere živého hráče. {reminder_token},FALSE,
47,Vrah ,Assassin,assassin,minion,Přisluhovač,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"Jednou za hru si v noci* vyber hráče: ten zemře, i když by z nějakého důvodu neměl.","Once per game, at night*, choose a player: they die, even if for some reason they could not.",FALSE,,,12,0,,,50,The Assassin might choose a player. {reminder_token} {reminder_token},Vrah může vybrat hráče. {reminder_token} {reminder_token},FALSE,
48,Strůjce,Mastermind,mastermind,minion,Přisluhovač,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,0,0,"Pokud Démon zemře popravou (a hra měla skončit), hraje se ještě jeden den a pokud je popraven hráč, jeho tým prohrává.","If the Demon dies by execution (ending the game), play for 1 more day. If a player is then executed, their team loses.",FALSE,,,22,0,,,0,,,TRUE, 
49,Zombúl,Zombuul,zombuul,demon,Démon,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"Každou noc*, pokud v tento den nikdo nezemřel, si vyber hráče: ten zemře. Poprvé, když zemřeš, tak se jevíš jako mrtvý, ale žiješ dál.","Each night*, if no-one died today, choose a player: they die. The 1st time you die, you live but register as dead.",FALSE,,,10,0,,,35,"If no one died today, the Zombuul chooses a player. {reminder_token}","Pokud dnes nikdo nezemřel, Zombúl vybere hráče. {reminder_token}",FALSE,
50,Pukka,Pukka,pukka,demon,Démon,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,Každou noc si vyber hráče: ten je otráven. Předchozí otrávený hráč zemře a pak se stane zdravým.,"Each night, choose a player: they are poisoned. The previously poisoned player dies then becomes healthy.",FALSE,,,2,42,The Pukka chooses a player. {reminder_token},Pukka vybere hráče. {reminder_token},36,The Pukka chooses a player. {reminder_token} The previously poisoned player dies then becomes healthy. {reminder_token},"Pukka vybere hráče. {reminder_token} Předtím otrávený hráč zemře, poté se stane zdravým. {reminder_token}",FALSE,
51,Šabalot,Shabaloth,shabaloth,demon,Démon,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,3,3,"Každou noc* si vyber 2 hráče: ti zemřou. Mrtvý hráč, kterého sis vybral včera v noci, může být oživen.","Each night*, choose 2 players: they die. A dead player you chose last night might be regurgitated.",FALSE,,,6,0,,,37,A previously chosen player might be resurrected. {reminder_token} The Shabaloth chooses 2 players. {reminder_token} {reminder_token},Předtím vybraný hráč může být oživen. {reminder_token} Šabalot vybere 2 hráče. {reminder_token} {reminder_token},FALSE,
52,Pó,Po,po,demon,Démon,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,4,4,"Každou noc* si můžeš vybrat hráče: ten zemře. Pokud sis naposledy nevybral nikoho, vyber si tuto noc 3 hráče.","Each night*, you may choose a player: they die. If your last choice was no-one, choose 3 players tonight.",FALSE,,,9,0,,,38,The Po may choose a player OR chooses 3 players if they chose no-one last night. {reminder_token} or {reminder_token} {reminder_token} {reminder_token},"Pó může vybrat hráče, NEBO vybere 3 hráče (může i stejného víckrát), pokud minulou noc nikoho nevybral. {reminder_token} nebo {reminder_token} {reminder_token} {reminder_token}",FALSE,
53,Biskup,Bishop,bishop,traveller,Cestovatel,2,II Čas Krvavého Měsíce (Bad Moon Rising),2,2,2,2,Nominovat může pouze Vypravěč. Každý den musí být nominován alespoň 1 hráč opačné strany.,Only the Storyteller can nominate. At least 1 opposing player must be nominated each day.,FALSE,,,17,0,,,0,,,FALSE,
54,Matróna,Matron,matron,traveller,Cestovatel,2,II Čas Krvavého Měsíce (Bad Moon Rising),2,2,0,0,"Každý den můžeš vybrat až 3 dvojice hráčů k výměně míst. Hráči nesmí opustit svá místa, aby si promluvili soukromě.","Each day, you may choose up to 3 sets of 2 players to swap seats. Players may not leave their seats to talk in private.",FALSE,,,8,0,,,0,,,FALSE,
55,Soudce,Judge,judge,traveller,Cestovatel,2,II Čas Krvavého Měsíce (Bad Moon Rising),2,2,1,1,"Jednou za hru, pokud nominoval jiný hráč, se můžeš rozhodnout vynutit úspěch nebo neúspěch aktuální popravy.","Once per game, if another player nominated, you may choose to force the current execution to pass or fail.",FALSE,,,11,0,,,0,,,FALSE,
56,Učeň,Apprentice,apprentice,traveller,Cestovatel,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,První noc získáš schopnost Měšťana (pokud jsi hodný) nebo schopnost Přisluhovače (pokud jsi zlý).,"On your 1st night, you gain a Townsfolk ability (if good), or a Minion ability (if evil).",FALSE,,,12,0,,,0,,,FALSE,
57,Vúdon,Voudon,voudon,traveller,Cestovatel,2,II Čas Krvavého Měsíce (Bad Moon Rising),2,2,0,0,Hlasovat můžete jen ty a mrtví. Ti k tomu nepotřebují hlasovací žeton. Není vyžadována 50% většina.,Only you & the dead can vote. They don't need a vote token to do so. A 50% majority isn't required.,FALSE,,,18,0,,,0,,,FALSE,
58,Hodinář,Clockmaker,clockmaker,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"První noc se dozvíš, kolik kroků je Démon od jeho nejbližšího Přisluhovače.",You start knowing how many steps from the Demon to its nearest Minion.,FALSE,,,7,55,Give a finger signal.,Ukaž signál prsty.,0,,,FALSE,
59,Snílek,Dreamer,dreamer,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Každou noc si vyber hráče (ne sebe nebo Cestovatele): dozvíš se 1 hodnou a 1 zlou roli, z nichž 1 je správná.","Each night, choose a player (not yourself or Travellers): you learn 1 good & 1 evil character, 1 of which is correct.",FALSE,,,24,56,"The Dreamer points to a player. Show 1 good & 1 evil character token, 1 of which is their character.","Snílek ukáže na hráče. Ukaž 1 žeton hodné a 1 žeton zlé role, z nichž 1 je role vybraného hráče.",73,"The Dreamer points to a player. Show 1 good & 1 evil character token, 1 of which is their character.","Snílek ukáže na hráče. Ukaž 1 žeton hodné a 1 žeton zlé role, z nichž 1 je jeho role.",FALSE,
